Longitude,Latitude,Level,geohash,place,name,street,suburb,address
74.335969,31.562995,5,ttsge9cgc8ez,Paragon Travel (Pvt) Ltd,Paragon Travel (Pvt) Ltd,Davis Road,Bibi Pak Daman,"Paragon Travel (Pvt) Ltd, LG-2, Hill View Arcade Davis Road, Bibi Pak Daman, Civil Lines 54000, Pakistan"
74.336327,31.608727,1,ttsggd4n1vy8,Badami Bagh,,,Badami Bagh,"Badami Bagh, Qila Lachman Singh 54950, Pakistan"
74.338117,31.59924,3,ttsgg87qgtm7,Gol Bagh,,Gol Bagh,Shad Bagh,"Gol Bagh, Shad Bagh, Lahore, Pakistan"
74.338519,31.51167,5,ttsg78e8v118,Gaddafi Stadium Roundabout,Gaddafi Stadium Roundabout,Gaddafi Stadium Roundabout,Muslim Town,"Gaddafi Stadium Roundabout, Muslim Town, Model Town Tehsil, Pakistan"
74.339012,31.580626,3,ttsgeth42x29,Sultan Pura Road,Sultan Pura Road,Sultan Pura Road,Sultanpura,"Sultan Pura Road, Sultanpura, Lahore 54840, Pakistan"
74.340846,31.510775,5,ttsg78m7e60t,Liberty Fountain,Liberty Fountain,Liberty Fountain,Gulberg,"Liberty Fountain, Gulberg, Lahore 57760, Pakistan"
74.341786,31.551271,3,ttsg7xwp3pjr,Davis Road,Davis Road,Davis Road,Bibi Pak Daman,"Davis Road, Bibi Pak Daman, Civil Lines 57760, Pakistan"
74.341786,31.534983,1,ttsg7sy094vm,Jail Road,Jail Road,Jail Road,Shadman,"Jail Road, Shadman, Model Town Tehsil 57760, Pakistan"
74.342055,31.51601,4,ttsg79q4p6js,laptop repairing store,laptop repairing store,Main Boulevard Gulberg,Gulberg,"laptop repairing store, 141 lg Main Boulevard Gulberg, Gulberg, Model Town Tehsil 57760, Pakistan"
74.344113,31.564248,3,ttsgedpep6k3,Jan Muhammad Hazoori Dargah Mosque,Jan Muhammad Hazoori Dargah Mosque,Allama Iqbal Road,Garhi Shahu,"Jan Muhammad Hazoori Dargah Mosque, Allama Iqbal Road, Garhi Shahu, Civil Lines 54840, Pakistan"
74.347245,31.521738,3,ttsg7f652mu5,Wilson's Specialty Mall,Wilson's Specialty Mall,Zahoor Elahi Road,Gulberg,"Wilson's Specialty Mall, Zahoor Elahi Road, Gulberg, Lahore 57760, Pakistan"
74.347961,31.465356,2,ttsg5b4dcp9c,Firozpur Road,Firozpur Road,Firozpur Road,Al Noor Town,"Firozpur Road, Al Noor Town, Amar Sidhu 04200, Pakistan"
74.34823,31.441864,2,ttsfggfdpk4p,Ghawala Colony 04200,,,,"Ghawala Colony 04200, Pakistan"
74.348677,31.575524,3,ttsgeu5hc8re,Grand Trunk Road,Grand Trunk Road,Grand Trunk Road,Kot Khwaja Saeed,"Grand Trunk Road, Kot Khwaja Saeed, Begampura 54840, Pakistan"
74.349124,31.572168,2,ttsgege3hntr,Garhi Shahu Bridge,Garhi Shahu Bridge,Garhi Shahu Bridge,Faiz Bagh,"Garhi Shahu Bridge, Faiz Bagh, Lahore 54840, Pakistan"
74.34993,31.507329,4,ttsg5zezqzvu,Gulberg,,,Gulberg,"Gulberg, Lahore 54660, Pakistan"
74.350109,31.544201,1,ttsg7ykn7173,Mall Road,Mall Road,Mall Road,Upper Mall,"Mall Road, Upper Mall, Lahore 57760, Pakistan"
74.351272,31.512609,4,ttsg7bsyq0nv,Qabail Restaurant,Qabail Restaurant,Ghalib Road,Gulberg,"Qabail Restaurant, 46 A Ghalib Road, Gulberg, Lahore 54660, Pakistan"
74.352794,31.531672,2,ttsg7unj39tm,Game Torque Studio,Game Torque Studio,Main Boulevard Gulberg,Upper Mall,"Game Torque Studio, Main Boulevard Gulberg, Upper Mall, PB 57760, Pakistan"
74.353599,31.448621,4,ttsfgvn9kry1,Chungi Amar Sidhu Bike Ring,Chungi Amar Sidhu Bike Ring,Chungi Amar Sidhu Bike Ring,,"Chungi Amar Sidhu Bike Ring, Ghawala Colony, Pakistan"
74.356911,31.529882,2,ttsgk5c4cs50,College Road,College Road,College Road,Gulberg,"College Road, Gulberg, Lahore 57760, Pakistan"
74.35709,31.476543,2,ttsgh41hjubt,Walton Road,Walton Road,Walton Road,Al Noor Town,"Walton Road, Al Noor Town, Amar Sidhu 05499, Pakistan"
74.357358,31.594587,4,ttsgsp97u1bf,Kot Khwaja Saeed,,,Kot Khwaja Saeed,"Kot Khwaja Saeed, Begampura 54840, Pakistan"
74.357537,31.502765,2,ttsghncsbjn1,Link Walton & Gulberg Rd,Link Walton & Gulberg Rd,Link Walton & Gulberg Rd,Gulberg,"Link Walton & Gulberg Rd, Gulberg, Lahore 54660, Pakistan"
74.357895,31.568991,3,ttsgs4cy8w3p,158 Street Number 2,,Street Number 2,Bibi Pak Daman,"158 Street Number 2, Bibi Pak Daman, Begampura 54840, Pakistan"
74.358253,31.6064,1,ttsgu1f08gup,China Scheme,,,China Scheme,"China Scheme, Begampura 54840, Pakistan"
74.3587,31.496858,3,ttsghjf67rcw,Walton,,,Walton,"Walton, PB 54660, Pakistan"
74.35879,31.55333,1,ttsgs047mquq,Hussain Shaheed Soherwordi Underpass,Hussain Shaheed Soherwordi Underpass,Hussain Shaheed Soherwordi Underpass,Zaman Park,"Hussain Shaheed Soherwordi Underpass, Zaman Park, Lahore 54840, Pakistan"
74.361072,31.526347,3,ttsgk5hn6940,Academy Road,Academy Road,Academy Road,,"Academy Road, PB 54660, Pakistan"
74.362012,31.393492,2,ttsfs5hb27nc,135 Firozpur Road,,Firozpur Road,Green Cap Housing Scheme,"135 Firozpur Road, Green Cap Housing Scheme, Dullu Khurd 04200, Pakistan"
74.367829,31.572034,2,ttsgs7902j8q,Scout Park Road,Scout Park Road,Scout Park Road,Ramgarh,"Scout Park Road, Ramgarh, Begampura 54840, Pakistan"
